data,valor
19960201,-2.8
19960301,-0.4
19960401,5.1
19970101,4.5
19970201,5.9
19970301,2.8
19970401,-3.8
19980101,4.8
19980201,2.5
19980301,-3.6
19980401,0.5
19990101,1.5
19990201,2.2
19990301,-1.2
19990401,15.8
20000101,-2.6
20000201,1.9
20000301,8.1
20000401,-2.1
20010101,4.9
20010201,3.6
20010301,-3.2
20010401,-1.6
20020101,1.9
20020201,-8.0
20020301,27.2
20020401,0.2
20030101,-2.6
20030201,2.9
20030301,1.3
20030401,3.4
20040101,4.8
20040201,3.4
20040301,1.9
20040401,3.0
20050101,4.4
20050201,1.6
20050301,1.5
20050401,1.7
20060101,1.3
20060201,-6.3
20060301,13.5
20060401,-2.6
20070101,2.9
20070201,-1.6
20070301,1.9
20070401,0.8
20080101,-1.9
20080201,4.2
20080301,-2.0
20080401,-5.8
20090101,-6.1
20090201,3.3
20090301,-1.7
20090401,0.9
20100101,10.1
20100201,-1.4
20100301,3.1
20100401,1.0
20110101,1.3
20110201,1.1
20110301,2.0
20110401,0.8
20120101,-1.0
20120201,-3.3
20120301,2.0
20120401,3.4
20130101,-3.2
20130201,2.4
20130301,-1.6
20130401,7.0
20140101,-5.6
20140201,-1.6
20140301,4.9
20140401,-6.4
20150101,6.2
20150201,3.9
20150301,-0.6
20150401,4.0
20160101,-0.4
20160201,0.0
20160301,-4.5
20160401,-1.1
20170101,6.8
20170201,2.1
20170301,1.9
20170401,-3.1
20180101,3.9
20180201,-4.4
20180301,6.5
20180401,2.9
20190101,-4.3
20190201,-4.3
20190301,0.6
20190401,2.7
20200101,-3.2
20200201,-0.8
20200301,0.1
20200401,-0.3
20210101,4.5
20210201,9.2
20210301,-8.1
20210401,-1.0
20220101,8.6
20220201,-4.2
20220301,5.5
20220401,3.5
20230101,0.3
20230201,2.9
