x;y
2T/7;6.5
3T/7;6.7
4T/7;6.2
1T/8;7.1
2T/8;6.1
3T/8;6.4
4T/8;4.1
1T/9;-10.8
2T/9;-9.3
3T/9;-8.1
4T/9;-4.7
1T/10;15.3
2T/10;14.1
3T/10;12.0
4T/10;10.2
1T/11;5.7
2T/11;5.4
3T/11;4.9
4T/11;4.1
1T/12;2.4
2T/12;-0.5
3T/12;-0.5
4T/12;-0.7
1T/13;-1.4
2T/13;1.5
3T/13;2.0
4T/13;2.2
1T/14;3.9
2T/14;0.0
3T/14;-1.2
4T/14;-1.5
1T/15;-4.1
2T/15;-4.5
3T/15;-4.9
4T/15;-5.8
1T/16;-7.4
2T/16;-5.7
3T/16;-4.9
4T/16;-4.6
1T/17;-1.9
2T/17;-2.1
3T/17;-1.5
4T/17;-0.5
1T/18;1.3
2T/18;1.2
3T/18;1.2
4T/18;0.7
1T/19;-1.5
2T/19;-0.9
3T/19;-0.9
4T/19;-0.7
1T/20;-1.0
2T/20;-7.2
3T/20;-4.9
4T/20;-3.4
1T/21;3.3
2T/21;9.6
3T/21;6.5
4T/21;4.5
1T/22;-1.5
